"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2019-01-14T14:16:36.764+01:00[Europe/Belgrade]","0.0","3.62"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2019-01-14T14:16:41.121+01:00[Europe/Belgrade]","0.0","0.27"
